"scenario" "trace_num" "new_index"
"GCM" 13 1
"PCNF" 244 2
"PCNF" 308 3
"GCM" 108 4
"PCNF" 136 5
"DPNF" 1030 6
"PCNF" 17 7
"DPNF" 404 8
"PCNF" 56 9
"PCNF" 380 10
"GCM" 18 11
"PCNF" 400 12
"PCNF" 301 13
"GCM" 67 14
"GCM" 14 15
"PCNF" 71 16
"PCNF" 422 17
"ObsRes" 63 18
"DPNF" 221 19
"PCNF" 99 20
"PCNF" 113 21
"PCNF" 441 22
"ObsRes" 58 23
"DPNF" 898 24
"GCM" 74 25
"PCNF" 477 26
"PCNF" 293 27
"PCNF" 155 28
"PCNF" 38 29
"DPNF" 447 30
"DPNF" 476 31
"PCNF" 345 32
"PCNF" 49 33
"PCNF" 108 34
"PCNF" 472 35
"PCNF" 98 36
"GCM" 39 37
"DPNF" 623 38
"PCNF" 228 39
"DPNF" 1145 40
"DPNF" 1155 41
"PCNF" 480 42
"PCNF" 146 43
"PCNF" 450 44
"PCNF" 385 45
"PCNF" 464 46
"PCNF" 325 47
"GCM" 64 48
"DPNF" 403 49
"DPNF" 388 50
"GCM" 21 51
"PCNF" 124 52
"PCNF" 231 53
"PCNF" 21 54
"PCNF" 241 55
"PCNF" 335 56
"GCM" 41 57
"ObsRes" 23 58
"PCNF" 443 59
"PCNF" 40 60
"GCM" 17 61
"PCNF" 257 62
"PCNF" 14 63
"PCNF" 339 64
"DPNF" 1178 65
"PCNF" 185 66
"GCM" 58 67
"PCNF" 90 68
"PCNF" 389 69
"DPNF" 576 70
"DPNF" 1137 71
"DPNF" 210 72
"DPNF" 384 73
"GCM" 100 74
"DPNF" 152 75
"DPNF" 465 76
"GCM" 25 77
"DPNF" 863 78
"PCNF" 474 79
"GCM" 32 80
"PCNF" 455 81
"DPNF" 984 82
"DPNF" 226 83
"PCNF" 163 84
"PCNF" 461 85
"GCM" 111 86
"PCNF" 291 87
"GCM" 84 88
"PCNF" 356 89
"PCNF" 143 90
"DPNF" 299 91
"DPNF" 1053 92
"PCNF" 314 93
"DPNF" 751 94
"DPNF" 661 95
"PCNF" 164 96
"PCNF" 420 97
"PCNF" 442 98
"DPNF" 662 99
"DPNF" 1008 100
"DPNF" 636 101
"PCNF" 458 102
"PCNF" 261 103
"PCNF" 169 104
"PCNF" 5 105
"DPNF" 1134 106
"PCNF" 207 107
